Time (s),Red,IR
2.310,31414.0,112477.0
2.320,31417.0,112432.0
2.330,31397.0,112157.0
2.340,31364.0,111977.0
2.350,31351.0,111942.0
2.360,31359.0,111965.0
2.370,31354.0,112012.0
2.380,31361.0,112059.0
2.390,31366.0,112090.0
2.400,31374.0,112063.0
2.410,31364.0,112033.0
2.420,31379.0,112043.0
2.430,31365.0,112081.0
2.440,31400.0,112130.0
2.450,31410.0,112206.0
2.460,31423.0,112256.0
2.470,31425.0,112199.0
2.480,31391.0,111926.0
2.490,31353.0,111748.0
2.500,31339.0,111735.0
2.510,31335.0,111779.0
2.520,31337.0,111795.0
2.530,31320.0,111852.0
2.540,31330.0,111876.0
2.550,31344.0,111854.0
2.560,31332.0,111860.0
2.570,31349.0,111901.0
2.580,31352.0,111954.0
2.590,31353.0,112011.0
2.600,31363.0,112073.0
2.610,31377.0,112140.0
2.620,31368.0,112131.0
2.630,31333.0,111935.0
2.640,31310.0,111744.0
2.650,31287.0,111740.0
2.660,31305.0,111776.0
2.670,31347.0,111824.0
2.680,31344.0,111916.0
2.690,31356.0,111969.0
2.700,31368.0,111979.0
2.710,31349.0,111981.0
2.720,31357.0,112023.0
2.730,31366.0,112075.0
2.740,31384.0,112159.0
2.750,31385.0,112209.0
2.760,31392.0,112281.0
2.770,31403.0,112328.0
2.780,31404.0,112240.0
2.790,31372.0,112043.0
2.800,31366.0,111951.0
2.810,31353.0,112003.0
2.820,31366.0,112069.0
2.830,31362.0,112130.0
2.840,31378.0,112201.0
2.850,31385.0,112213.0
2.860,31383.0,112206.0
2.870,31383.0,112205.0
2.880,31393.0,112264.0
2.890,31408.0,112302.0
2.900,31422.0,112360.0
2.910,31436.0,112435.0
2.920,31443.0,112506.0
2.930,31438.0,112518.0
2.940,31439.0,112337.0
2.950,31408.0,112178.0
2.960,31398.0,112188.0
2.970,31401.0,112258.0
2.980,31402.0,112289.0
2.990,31398.0,112367.0
3.000,31398.0,112392.0
3.010,31393.0,112385.0
3.020,31405.0,112385.0
3.030,31399.0,112418.0
3.040,31412.0,112472.0
3.050,31414.0,112522.0
3.060,31426.0,112597.0
3.070,31438.0,112651.0
3.080,31441.0,112687.0
3.090,31425.0,112524.0
3.100,31385.0,112338.0
3.110,31362.0,112289.0
3.120,31362.0,112341.0
3.130,31379.0,112381.0
3.140,31398.0,112437.0
3.150,31418.0,112489.0
3.160,31428.0,112494.0
3.170,31414.0,112489.0
3.180,31417.0,112499.0
3.190,31421.0,112542.0
3.200,31424.0,112597.0
3.210,31435.0,112630.0
3.220,31428.0,112671.0
3.230,31440.0,112707.0
3.240,31436.0,112563.0
3.250,31412.0,112337.0
3.260,31386.0,112276.0
3.270,31390.0,112266.0
3.280,31368.0,112317.0
3.290,31397.0,112374.0
3.300,31397.0,112414.0
3.310,31394.0,112413.0
3.320,31384.0,112400.0
3.330,31392.0,112403.0
3.340,31400.0,112417.0
3.350,31401.0,112472.0
3.360,31429.0,112518.0
3.370,31443.0,112582.0
3.380,31441.0,112638.0
3.390,31439.0,112582.0
3.400,31431.0,112357.0
3.410,31392.0,112198.0
3.420,31380.0,112173.0
3.430,31368.0,112196.0
3.440,31378.0,112247.0
3.450,31372.0,112302.0
3.460,31370.0,112324.0
3.470,31375.0,112293.0
3.480,31381.0,112281.0
3.490,31373.0,112312.0
3.500,31373.0,112357.0
3.510,31378.0,112426.0
3.520,31391.0,112467.0
3.530,31392.0,112532.0
3.540,31400.0,112580.0
3.550,31386.0,112370.0
3.560,31337.0,112151.0
3.570,31316.0,112068.0
3.580,31305.0,112117.0
3.590,31320.0,112139.0
3.600,31360.0,112221.0
3.610,31366.0,112275.0
3.620,31360.0,112285.0
3.630,31355.0,112274.0
3.640,31351.0,112306.0
3.650,31369.0,112348.0
3.660,31378.0,112401.0
3.670,31380.0,112454.0
3.680,31382.0,112504.0
3.690,31384.0,112566.0
3.700,31390.0,112556.0
3.710,31373.0,112346.0
3.720,31343.0,112194.0
3.730,31338.0,112197.0
3.740,31333.0,112251.0
3.750,31354.0,112301.0
3.760,31363.0,112393.0
3.770,31364.0,112421.0
3.780,31370.0,112451.0
3.790,31376.0,112436.0
3.800,31375.0,112450.0
3.810,31375.0,112496.0
3.820,31396.0,112566.0
3.830,31420.0,112640.0
3.840,31438.0,112712.0
3.850,31434.0,112770.0
3.860,31429.0,112690.0
3.870,31402.0,112483.0
3.880,31366.0,112398.0
3.890,31362.0,112436.0
3.900,31378.0,112507.0
3.910,31373.0,112576.0
3.920,31382.0,112639.0
3.930,31394.0,112662.0
3.940,31389.0,112656.0
3.950,31391.0,112671.0
3.960,31400.0,112705.0
3.970,31394.0,112745.0
3.980,31393.0,112810.0
3.990,31399.0,112858.0
4.000,31411.0,112923.0
4.010,31423.0,112934.0
4.020,31391.0,112750.0
4.030,31359.0,112566.0
4.040,31338.0,112550.0
4.050,31348.0,112596.0
4.060,31387.0,112658.0
4.070,31387.0,112732.0
4.080,31400.0,112771.0
4.090,31396.0,112754.0
4.100,31381.0,112730.0
4.110,31394.0,112782.0
4.120,31402.0,112817.0
4.130,31401.0,112880.0
4.140,31412.0,112928.0
4.150,31410.0,112975.0
4.160,31418.0,112986.0
4.170,31411.0,112813.0
4.180,31377.0,112624.0
4.190,31357.0,112539.0
4.200,31363.0,112568.0
4.210,31360.0,112631.0
4.220,31368.0,112677.0
4.230,31382.0,112726.0
4.240,31382.0,112710.0
4.250,31381.0,112699.0
4.260,31382.0,112690.0
4.270,31381.0,112699.0
4.280,31401.0,112760.0
4.290,31409.0,112809.0
4.300,31429.0,112845.0
4.310,31425.0,112911.0
4.320,31406.0,112798.0
4.330,31382.0,112548.0
4.340,31359.0,112411.0
4.350,31347.0,112411.0
4.360,31342.0,112456.0
4.370,31333.0,112485.0
4.380,31337.0,112545.0
4.390,31341.0,112545.0
4.400,31347.0,112524.0
4.410,31341.0,112509.0
4.420,31349.0,112537.0
4.430,31334.0,112595.0
4.440,31356.0,112640.0
4.450,31362.0,112667.0
4.460,31373.0,112731.0
4.470,31366.0,112681.0
4.480,31325.0,112454.0
4.490,31277.0,112244.0
4.500,31268.0,112194.0
4.510,31290.0,112203.0
4.520,31303.0,112262.0
4.530,31312.0,112312.0
4.540,31314.0,112348.0
4.550,31322.0,112318.0
4.560,31318.0,112313.0
4.570,31305.0,112333.0
4.580,31325.0,112359.0
4.590,31325.0,112396.0
4.600,31324.0,112443.0
4.610,31325.0,112501.0
4.620,31337.0,112549.0
4.630,31335.0,112365.0
4.640,31305.0,112150.0
4.650,31286.0,112074.0
4.660,31300.0,112092.0
4.670,31291.0,112131.0
4.680,31293.0,112204.0
4.690,31309.0,112250.0
4.700,31303.0,112257.0
4.710,31306.0,112255.0
4.720,31307.0,112261.0
4.730,31307.0,112318.0
4.740,31335.0,112357.0
4.750,31336.0,112413.0
4.760,31354.0,112469.0
4.770,31365.0,112554.0
4.780,31369.0,112553.0
4.790,31354.0,112353.0
4.800,31312.0,112187.0
4.810,31299.0,112171.0
4.820,31311.0,112227.0
4.830,31317.0,112277.0
4.840,31315.0,112336.0
4.850,31312.0,112391.0
4.860,31307.0,112371.0
4.870,31319.0,112365.0
4.880,31327.0,112404.0
4.890,31329.0,112458.0
4.900,31342.0,112510.0
4.910,31348.0,112557.0
4.920,31350.0,112639.0
4.930,31366.0,112670.0
4.940,31337.0,112532.0
4.950,31319.0,112288.0
4.960,31281.0,112213.0
4.970,31274.0,112236.0
